SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
DEXTRO 08,DISPLAY TABLETA EFERVESCENTE 82G ZERO NARANJA 12 PZ,DEXTRO,DEXTRO,DEXTRO,2693.63,Pesos,16,0
DEXTRO 09,DISPLAY TABLETA EFERVESCENTE 82G ZERO LIMON 12 PZ,DEXTRO,DEXTRO,DEXTRO,2693.63,Pesos,16,0
DEXTRO 10,DISPLAY TABLETA EFERVESCENTE 82G ZERO CEREZA 12 PZ,DEXTRO,DEXTRO,DEXTRO,2693.63,Pesos,16,0
DEXTRO 11,PAQUETE TABLETA EFERVESCENTE 82G ZERO SURIDOS 12 PZ,DEXTRO,DEXTRO,DEXTRO,2693.63,Pesos,16,0
DEXTRO 24,DISPLAY BARRA DE PROTEINA CHOCOLATE 24 PZ 50G,DEXTRO,DEXTRO,DEXTRO,2222.22,Pesos,0,8
DEXTRO 26,DISPLAY BARRA DE PROTEINA CARAMEL COOKIE 24 PZ 50G,DEXTRO,DEXTRO,DEXTRO,2222.22,Pesos,0,8
DEXTRO 28,DISPLAY BARRA DE PROTEINA VAINILLA COCO 24 PZ 50G,DEXTRO,DEXTRO,DEXTRO,2222.22,Pesos,0,8
DEXTRO 30,PAQUETE BARRA DE PROTEINA SURTIDOS 24 PZ 50G,DEXTRO,DEXTRO,DEXTRO,2222.22,Pesos,0,8
DEXTRO 31,DISPLAY BARRA DE ENERGIA VAINILLA 24 PZ 50 GRS,DEXTRO,DEXTRO,DEXTRO,2222.22,Pesos,0,8
DEXTRO 33,PAQUETE BARRA DE ENERGIA Y PROTEINA 24 PZ 50 GRS,DEXTRO,DEXTRO,DEXTRO,2222.22,Pesos,0,8
62213 PACK,PACK 12 PZ JELLY BELLY BEAN BOOZLED GB  3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,2200,Pesos,0,8
63965 PACK,PACK 12 PZ JELLY BELLY BEAN BOOZLED DISPENSER  3.5 OZ,GOMITAS,JELLY BELLY,JELLY BELLY,2200,Pesos,0,8
64885 PACK,PACK 12 PZ JB BEAN BOOZLED EXTREME SPINNER GIFT BOX 120 GRS,GOMITAS,JELLY BELLY,JELLY BELLY,2200,Pesos,0,8
B572004 PFS,SOUR RAINBOW/TUTTI FRUTII BELTS 1.6 KG X 6 PZAS,DULCE C/AZ,CT BRANDS,CT BRANDS,1804.8,Pesos,0,8
DEXTRO 16,DISPLAY BEBIDA EN GEL NARANJA 60 ML 18 PZ,DEXTRO,DEXTRO,DEXTRO,1796.74,Pesos,16,0
DEXTRO 17,DISPLAY BEBIDA EN GEL CLASICO 60 ML 18 PZ,DEXTRO,DEXTRO,DEXTRO,1796.74,Pesos,16,0
DEXTRO 18,DISPLAY BEBIDA EN GEL MANZANA 60 ML 18 PZ,DEXTRO,DEXTRO,DEXTRO,1796.74,Pesos,16,0
DEXTRO 19,DISPLAY BEBIDA EN GEL TORONJA + SODIO 60 ML 18 PZ,DEXTRO,DEXTRO,DEXTRO,1796.74,Pesos,16,0
DEXTRO 20,PAQUETE BEBIDA EN GEL SURTIDOS 60 ML 18 PZ,DEXTRO,DEXTRO,DEXTRO,1796.74,Pesos,16,0
DEXTRO 35,DISPLAY BEBIDA EN GEL GROSELLA NEGRA 60 ML 18 PZ,DEXTRO,DEXTRO,DEXTRO,1796.74,Pesos,16,0
784L,JELLY BELLY SABORES SURTIDOS 10 LBS.,NULL,JELLY BELLY,JELLY BELLY,1467.4,Pesos,0,8
DEXTRO 12,PAQUETE TABLETA EFERVESCENTE 82G ZERO SURTIDOS 6 PZ,DEXTRO,DEXTRO,DEXTRO,1372.68,Pesos,16,0
882L,JELLY BELLY SUNKIST LEMON 10 LBS,NULL,JELLY BELLY,JELLY BELLY,1334,Pesos,0,8
